iter	RMSE
0	2.432965848
1	2.373037215
2	2.320462146
3	2.274889439
4	2.237701775
5	2.20518992
6	2.176188876
7	2.150482479
8	2.129504286
9	2.109599397
10	2.092520431
11	2.077050541
12	2.063527521
13	2.051717999
14	2.040030625
15	2.030715382
16	2.021794949
17	2.013499262
18	2.006479671
19	1.999648929
20	1.993713987
21	1.987528731
22	1.982144163
23	1.977346883
24	1.971891
25	1.966429012
26	1.962498467
27	1.958895989
28	1.95405646
29	1.948486901
30	1.945276843
31	1.941694263
32	1.938236233
33	1.935662919
34	1.932992846
35	1.930071363
36	1.925796214
37	1.923468882
38	1.920602148
39	1.91590494
40	1.912045533
41	1.90935026
42	1.906708938
43	1.902885333
44	1.900144233
45	1.897038363
46	1.894896241
47	1.891928036
48	1.889935922
49	1.887442379
50	1.883783632
51	1.881963136
52	1.880008494
53	1.876615369
54	1.874497522
55	1.871739059
56	1.869066147
57	1.866968056
58	1.863971153
59	1.861437837
60	1.859449992
61	1.857294637
62	1.854046246
63	1.851625344
64	1.849218575
65	1.845774878
66	1.844004209
67	1.842436456
68	1.840618615
69	1.839431586
70	1.83772398
71	1.834734722
72	1.832920725
73	1.830565368
74	1.828995192
75	1.826935099
76	1.825161265
77	1.822850076
78	1.820956403
79	1.81943977
80	1.817153445
81	1.816269312
82	1.81501215
83	1.812391398
84	1.811663213
85	1.810316282
86	1.809136221
87	1.807473334
88	1.805050926
89	1.803647068
90	1.801529586
91	1.800223082
92	1.79915186
93	1.796667547
94	1.796211002
95	1.794470003
96	1.792710349
97	1.79125842
98	1.788753887
99	1.787775285
