iter	Passed	Remaining
0	248	24601
1	454	22250
2	637	20600
3	834	20018
4	1012	19246
5	1175	18421
6	1369	18191
7	1549	17816
8	1720	17399
9	1884	16956
10	2060	16667
11	2216	16255
12	2385	15964
13	2559	15722
14	2753	15605
15	2943	15452
16	3126	15265
17	3295	15014
18	3492	14887
19	3675	14700
20	3864	14536
21	4015	14236
22	4205	14080
23	4418	13991
24	4573	13720
25	4772	13583
26	4946	13373
27	5128	13187
28	5352	13104
29	5570	12997
30	5735	12765
31	5945	12634
32	6159	12506
33	6373	12372
34	6557	12177
35	6751	12003
36	6912	11769
37	7116	11611
38	7317	11444
39	7520	11280
40	7721	11111
41	7914	10930
42	8095	10730
43	8275	10532
44	8419	10290
45	8613	10111
46	8833	9961
47	9038	9791
48	9210	9586
49	9448	9448
50	9643	9265
51	9864	9105
52	10094	8951
53	10252	8733
54	10425	8530
55	10607	8334
56	10756	8114
57	10946	7926
58	11112	7722
59	11362	7574
60	11509	7358
61	11800	7232
62	12012	7054
63	12249	6890
64	12538	6751
65	12889	6640
66	13170	6486
67	13448	6328
68	13809	6204
69	15126	6482
70	15391	6286
71	15650	6086
72	15897	5879
73	16144	5672
74	16375	5458
75	16548	5225
76	16758	5005
77	16926	4774
78	17138	4555
79	17336	4334
80	17538	4113
81	17758	3898
82	17941	3674
83	18119	3451
84	18474	3260
85	18734	3049
86	18935	2829
87	19125	2608
88	19521	2412
89	20010	2223
90	20278	2005
91	20466	1779
92	20897	1572
93	21130	1348
94	21640	1138
95	21958	914
96	22178	685
97	22389	456
98	22596	228
99	22911	0
